yourlist:M2022030892C7BAECDB1C5C413EE0E0348724B682456919U	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P53632	P53632	PAP2_YEAST	reviewed	Poly(A) RNA polymerase protein 2 (EC 2.7.7.19) (DNA polymerase kappa) (DNA polymerase sigma) (Topoisomerase 1-related protein TRF4)	PAP2 TRF4 YOL115W HRC584 O0716	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	584
P18891	P18891	LECF_ALEAU	reviewed	Fucose-specific lectin (Aleuria aurantia lectin) (AAL)		Aleuria aurantia (Orange peel mushroom)	313
P30405	P30405	PPIF_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)	PPIF CYP3	Homo sapiens (Human)	207
P08492	P08492	HN_PI3H4	reviewed	Hemagglutinin-neuraminidase (EC 3.2.1.18)	HN	Human parainfluenza 3 virus (strain Wash/47885/57) (HPIV-3) (Human parainfluenza 3 virus (strain NIH 47885))	572
P05020	P05020	PYRC_ECOLI	reviewed	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC b1062 JW1049	Escherichia coli (strain K12)	348
Q15075	Q15075	EEA1_HUMAN	reviewed	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)	EEA1 ZFYVE2	Homo sapiens (Human)	1411
Q9BY43	Q9BY43	CHM4A_HUMAN	reviewed	Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1)	CHMP4A C14orf123 SHAX2 CDA04 HSPC134	Homo sapiens (Human)	222
Q86YC2	Q86YC2	PALB2_HUMAN	reviewed	Partner and localizer of BRCA2	PALB2 FANCN	Homo sapiens (Human)	1186
Q9Y5U4	Q9Y5U4	INSI2_HUMAN	reviewed	Insulin-induced gene 2 protein (INSIG-2)	INSIG2	Homo sapiens (Human)	225
P18507	P18507	GBRG2_HUMAN	reviewed	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	GABRG2	Homo sapiens (Human)	467
A0A0H3JRN6	A0A0H3JRN6	A0A0H3JRN6_STAAN	unreviewed	SA2223 protein	SA2223	Staphylococcus aureus (strain N315)	157
P07339	P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
P61157	P61157	ARP3_BOVIN	reviewed	Actin-related protein 3 (Actin-2) (Actin-like protein 3)	ACTR3 ARP3	Bos taurus (Bovine)	418
Q8IZX4	Q8IZX4	TAF1L_HUMAN	reviewed	Transcription initiation factor TFIID subunit 1-like (TAF(II)210) (TBP-associated factor 1-like) (TBP-associated factor 210 kDa) (Transcription initiation factor TFIID 210 kDa subunit)	TAF1L	Homo sapiens (Human)	1826
P56463	P56463	DEOD_HELPY	reviewed	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1)	deoD HP_1178	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	233
Q50LF1	Q50LF1	Q50LF1_9CORY	unreviewed	Subunit delta of sarcosine oxidase	soxD	Corynebacterium sp. U-96	99
Q9V2J8	Q9V2J8	Q9V2J8_PYRAB	unreviewed	GlgA glycogen synthase (Glycogen synthase)	PAB2292	Pyrococcus abyssi (strain GE5 / Orsay)	437
Q9DCJ0,Q9WUD1	Q9WUD1	CHIP_MOUSE	reviewed	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	Stub1 Chip	Mus musculus (Mouse)	304
Q9UQL6	Q9UQL6	HDAC5_HUMAN	reviewed	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)	HDAC5 KIAA0600	Homo sapiens (Human)	1122
P00583,P0A990	P0A990	DPO3B_ECO57	reviewed	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN Z5192 ECs4636	Escherichia coli O157:H7	366
P62871	P62871	GBB1_BOVIN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Bos taurus (Bovine)	340
P62745	P62745	RHOB_HUMAN	reviewed	Rho-related GTP-binding protein RhoB (Rho cDNA clone 6) (h6)	RHOB ARH6 ARHB	Homo sapiens (Human)	196
P14555	P14555	PA2GA_HUMAN	reviewed	Phospholipase A2, membrane associated (EC 3.1.1.4) (GIIC sPLA2) (Group IIA phospholipase A2) (Non-pancreatic secretory phospholipase A2) (NPS-PLA2) (Phosphatidylcholine 2-acylhydrolase 2A)	PLA2G2A PLA2B PLA2L RASF-A	Homo sapiens (Human)	144
I6Y334	I6Y334	I6Y334_MYCTU		Deleted.			
Q9Y4K3	Q9Y4K3	TRAF6_HUMAN	reviewed	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (Interleukin-1 signal transducer) (RING finger protein 85) (RING-type E3 ubiquitin transferase TRAF6)	TRAF6 RNF85	Homo sapiens (Human)	522
P21631	P21631	SUMT_SINSX	reviewed	Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (S-adenosyl-L-methionine:uroporphyrinogen III methyltransferase) (SUMT) (Uroporphyrinogen III methylase) (UROM)	cobA	Sinorhizobium sp.	280
A6N4J4	A6N4J4	A6N4J4_9HEPC	unreviewed	Genome polyprotein (Fragment)		Hepatitis C virus subtype 1b	181
Q3KN41	Q3KN41	Q3KN41_DROME	unreviewed	LP14275p (Neurexin 1, isoform B) (Neurexin 1, isoform D) (Neurexin 1, isoform H) (Neurexin 1, isoform I)	Nrx-1 CT21808 Dmel\CG7050 DNrx Dnrx dNrx dnrx dnrx-1 dnrx1 Nrx nrx nrx-1 Nrx-I Nrx1 nrx1 CG7050 Dmel_CG7050	Drosophila melanogaster (Fruit fly)	1840
P01723	P01723	LV1A_MOUSE	reviewed	Ig lambda-1 chain V region		Mus musculus (Mouse)	117
P00519	P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130
P04632	P04632	CPNS1_HUMAN	reviewed	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	CAPNS1 CAPN4 CAPNS	Homo sapiens (Human)	268
P23004	P23004	QCR2_BOVIN	reviewed	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)	UQCRC2	Bos taurus (Bovine)	453
Q96SW2	Q96SW2	CRBN_HUMAN	reviewed	Protein cereblon	CRBN AD-006	Homo sapiens (Human)	442
P04233	P04233	HG2A_HUMAN	reviewed	HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)]	CD74 DHLAG	Homo sapiens (Human)	296
Q8A1G2	Q8A1G2	SUSD_BACTN	reviewed	Starch-binding protein SusD (Starch-utilization system protein D)	susD BT_3701	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	551
O85361	O85361	O85361_STRPL	unreviewed	Beta-N-acetylhexosaminidase (EC 3.2.1.52)	hex	Streptomyces plicatus	506
E7F650	E7F650	E7F650_DANRE	unreviewed	Avidin	avd	Danio rerio (Zebrafish) (Brachydanio rerio)	154
Q6Q3H7	Q6Q3H7	Q6Q3H7_PLAFA	unreviewed	Macrophage migration inhibitory factor-like protein		Plasmodium falciparum	116
O25323	O25323	O25323_HELPY	unreviewed	Endonuclease III	HP_0602	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	218
O43813	O43813	LANC1_HUMAN	reviewed	Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1)	LANCL1 GPR69A	Homo sapiens (Human)	399
Q09825	Q09825	SAD1_SCHPO	reviewed	Spindle pole body-associated protein sad1	sad1 SPBC12D12.01 SPBC16H5.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	514
P41279	P41279	M3K8_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 8 (EC 2.7.11.25) (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)	MAP3K8 COT ESTF	Homo sapiens (Human)	467
R9YTM5	R9YTM5	R9YTM5_STAAU		Deleted.			
Q2VPJ6	Q2VPJ6	Q2VPJ6_HUMAN	unreviewed	HSP90AA1 protein (Fragment)	HSP90AA1	Homo sapiens (Human)	585
O66465	O66465	MRAY_AQUAE	reviewed	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY aq_053	Aquifex aeolicus (strain VF5)	359
Q988B9	Q988B9	PDLA_RHILO	reviewed	4-pyridoxolactonase (EC 3.1.1.27)	mlr6805	Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) (Mesorhizobium loti (strain MAFF 303099))	268
H8XX12	H8XX12	H8XX12_ZIKV	unreviewed	Genome polyprotein (Fragment)		Zika virus (ZIKV)	3417
Q9PTN2	Q9PTN2	VDRA_DANRE	reviewed	Vitamin D3 receptor A (VDR-A) (1,25-dihydroxyvitamin D3 receptor A) (Nuclear receptor subfamily 1 group I member 1-A)	vdra nr1i1a vdr	Danio rerio (Zebrafish) (Brachydanio rerio)	453
F2RCL8	F2RCL8	F2RCL8_STRVP	unreviewed	DNA-binding protein	SVEN_1089	Streptomyces venezuelae (strain ATCC 10712 / CBS 650.69 / DSM 40230 / JCM 4526 / NBRC 13096 / PD 04745)	166
Q3T035	Q3T035	ARPC3_BOVIN	reviewed	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	ARPC3	Bos taurus (Bovine)	178
E6MUM9	E6MUM9	E6MUM9_NEIMH	unreviewed	Aminopeptidase N (EC 3.4.11.2)	pepN NMH_0477	Neisseria meningitidis serogroup B / serotype 15 (strain H44/76)	867
Q02750	Q02750	MP2K1_HUMAN	reviewed	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1	Homo sapiens (Human)	393
Q7KZI7	Q7KZI7	MARK2_HUMAN	reviewed	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)	MARK2 EMK1	Homo sapiens (Human)	788
Q8WZ42	Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
P0ADR8	P0ADR8	PPNN_ECOLI	reviewed	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase (EC 3.2.2.-) (EC 3.2.2.10) (AMP nucleosidase) (EC 3.2.2.4) (CMP nucleosidase) (GMP nucleosidase) (IMP nucleosidase) (UMP nucleosidase) (dTMP nucleosidase)	ppnN ygdH b2795 JW2766	Escherichia coli (strain K12)	454
Q8N6T7	Q8N6T7	SIR6_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-6 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 6) (SIR2-like protein 6)	SIRT6 SIR2L6	Homo sapiens (Human)	355
Q66972	Q66972	Q66972_9RETR	unreviewed	Pol polyprotein	POL	Feline immunodeficiency virus	1124
O43918	O43918	AIRE_HUMAN	reviewed	Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein)	AIRE APECED	Homo sapiens (Human)	545
P71002	P71002	RAPF_BACSU	reviewed	Response regulator aspartate phosphatase F (EC 3.1.-.-)	rapF ywhJ BSU37460	Bacillus subtilis (strain 168)	381
Q8WXF7	Q8WXF7	ATLA1_HUMAN	reviewed	Atlastin-1 (EC 3.6.5.-) (Brain-specific GTP-binding protein) (GTP-binding protein 3) (GBP-3) (hGBP3) (Guanine nucleotide-binding protein 3) (Spastic paraplegia 3 protein A)	ATL1 GBP3 SPG3A	Homo sapiens (Human)	558
P27915	P27915	POLG_DEN3P	reviewed	Genome polyprotein [Cleaved into: Capsid protein C (Core protein); Protein prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]		Dengue virus type 3 (strain Philippines/H87/1956) (DENV-3)	3390
O00625	O00625	PIR_HUMAN	reviewed	Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)	PIR	Homo sapiens (Human)	290
Q7CJS8,A0A2U2H355	A0A2U2H355	A0A2U2H355_YERPE	unreviewed	ABC transporter substrate-binding protein (Putative solute-binding protein)	YPO2660 ISU56_15400 ISU59_14120	Yersinia pestis	525
Q96BD6	Q96BD6	SPSB1_HUMAN	reviewed	SPRY domain-containing SOCS box protein 1 (SSB-1)	SPSB1 SSB1	Homo sapiens (Human)	273
P95649	P95649	CBBY_CERSP	reviewed	Protein CbbY (RuCbby) (EC 3.1.3.-)	cbbY	Cereibacter sphaeroides (Rhodobacter sphaeroides)	230
A5U3K4	A5U3K4	MASZ_MYCTA	reviewed	Malate synthase G (EC 2.3.3.9)	glcB MRA_1848	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	741
P14737	P14737	RAD9_YEAST	reviewed	DNA repair protein RAD9	RAD9 YDR217C YD9934.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1309
P0DOX7	P0DOX7	IGK_HUMAN	reviewed	Immunoglobulin kappa light chain (Immunoglobulin kappa light chain EU)		Homo sapiens (Human)	214
Q58293	Q58293	TRM5B_METJA	reviewed	tRNA (guanine(37)-N1)-methyltransferase Trm5b (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trm5b MJ0883	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	336
Q96A08	Q96A08	H2B1A_HUMAN	reviewed	Histone H2B type 1-A (Histone H2B, testis) (TSH2B.1) (hTSH2B) (Testis-specific histone H2B)	H2BC1 HIST1H2BA TSH2B	Homo sapiens (Human)	127
P08254	P08254	MMP3_HUMAN	reviewed	Stromelysin-1 (SL-1) (EC 3.4.24.17) (Matrix metalloproteinase-3) (MMP-3) (Transin-1)	MMP3 STMY1	Homo sapiens (Human)	477
Q9A5I0	Q9A5I0	CLPS_CAUVC	reviewed	ATP-dependent Clp protease adapter protein ClpS	clpS CC_2467	Caulobacter vibrioides (strain ATCC 19089 / CB15) (Caulobacter crescentus)	119
P46937	P46937	YAP1_HUMAN	reviewed	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	YAP1 YAP65	Homo sapiens (Human)	504
A0QP43	A0QP43	A0QP43_MYCS2	unreviewed	Type-4 uracil-DNA glycosylase (EC 3.2.2.27)	MSMEG_0265	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	209
Q2YKV1	Q2YKV1	RISB2_BRUA2	reviewed	6,7-dimethyl-8-ribityllumazine synthase 2 (DMRL synthase 2) (LS 2) (Lumazine synthase 2) (EC 2.5.1.78) (BLS) (Type II lumazine synthase)	ribH2 ribH-2 BAB2_0545	Brucella abortus (strain 2308)	158
Q9X2W0	Q9X2W0	MCJD_ECOLX	reviewed	Microcin-J25 export ATP-binding/permease protein McjD (Microcin-J25 immunity protein) (Microcin-J25 secretion ATP-binding protein McjD)	mcjD	Escherichia coli	580
P00383	P00383	DYR21_ECOLX	reviewed	Dihydrofolate reductase type 2 (EC 1.5.1.3) (Dihydrofolate reductase type II)		Escherichia coli	78
P04273	P04273	PRIO_MESAU	reviewed	Major prion protein (PrP) (PrP27-30) (PrP33-35C) (CD antigen CD230)	PRNP PRP	Mesocricetus auratus (Golden hamster)	254
P43092,P0CY29	P0CY29	CARP3_CANAL	reviewed	Candidapepsin-3 (EC 3.4.23.24) (ACP 3) (Aspartate protease 3) (Secreted aspartic protease 3)	SAP3 CAALFM_C305230WA CaO19.13422 CaO19.6001	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	398
P13995	P13995	MTDC_HUMAN	reviewed	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	MTHFD2 NMDMC	Homo sapiens (Human)	350
A8W790	A8W790	A8W790_BIFLN	unreviewed	ABC transporter substrate-binding protein (ABC-type transport system galacto-N-biose-/lacto-N-biose I-binding protein GL-BP) (Extracellular solute-binding protein) (Extracellular solute-binding protein, family 1) (Galacto-N-biose/lacto-N-biose I transporter substrate-binding protein)	gltA B5779_1723 BBG7_1737 BL105A_1604 Blongum51A_1537 CE169_10300 DPC6316_1631 DPC6317_1652 DW237_01330 DWV59_00655 DWV93_04060 DWZ73_05780 DXC63_11055 GBB65_10240 GBC10_10170 GBC33_03200 GBC97_01865 GBI83_11305 GBI87_11210 GBJ95_01385 GBJ98_01565 GBJ99_01105 GBK03_02410 GBK06_01655 GBK07_02900 GUA24_03015 GUA37_03060 JQN89_04260	Bifidobacterium longum	438
Q7D785,P9WFX1	P9WFX1	MBTI_MYCTU	reviewed	Salicylate synthase (Chorismate mutase) (CM) (EC 5.4.99.5) (Isochorismate synthase/isochorismate lyase) (EC 4.2.99.21) (EC 5.4.4.2) (Mycobactin synthase protein)	mbtI trpE2 Rv2386c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	450
Q96B67	Q96B67	ARRD3_HUMAN	reviewed	Arrestin domain-containing protein 3 (TBP-2-like inducible membrane protein) (TLIMP)	ARRDC3 KIAA1376	Homo sapiens (Human)	414
Q9SCL7	Q9SCL7	NAGK_ARATH	reviewed	Acetylglutamate kinase, chloroplastic (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AtNAGK)	NAGK At3g57560 T8H10.160	Arabidopsis thaliana (Mouse-ear cress)	347
Q62261	Q62261	SPTB2_MOUSE	reviewed	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Embryonic liver fodrin) (Fodrin beta chain)	Sptbn1 Elf Spnb-2 Spnb2 Sptb2	Mus musculus (Mouse)	2363
Q7RTN6	Q7RTN6	STRAA_HUMAN	reviewed	STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein) (Serologically defined breast cancer antigen NY-BR-96)	STRADA LYK5 STRAD	Homo sapiens (Human)	431
Q7SPG9	Q7SPG9	Q7SPG9_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	99
P09211	P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
P05434	P05434	CATR_CHLRE	reviewed	Caltractin (20 kDa calcium-binding protein) (Centrin)		Chlamydomonas reinhardtii (Chlamydomonas smithii)	169
O94782	O94782	UBP1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (hUBP) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1) [Cleaved into: Ubiquitin carboxyl-terminal hydrolase 1, N-terminal fragment]	USP1	Homo sapiens (Human)	785
Q8IYT8	Q8IYT8	ULK2_HUMAN	reviewed	Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2)	ULK2 KIAA0623	Homo sapiens (Human)	1036
P29678	P29678	MP2K1_RABIT	reviewed	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1	Oryctolagus cuniculus (Rabbit)	393
A0QT50	A0QT50	A0QT50_MYCS2	unreviewed	ABC transporter periplasmic-binding protein YtfQ	MSMEG_1712	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	328
Q8NN31	Q8NN31	Q8NN31_CORGL	unreviewed	Predicted transcriptional regulators	Cgl2382	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	192
P49721	P49721	PSB2_HUMAN	reviewed	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)	PSMB2	Homo sapiens (Human)	201
Q16630	Q16630	CPSF6_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CPSF 68 kDa subunit) (Cleavage factor Im complex 68 kDa subunit) (CFIm68) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)	CPSF6 CFIM68	Homo sapiens (Human)	551
A1Z093	A1Z093	A1Z093_9HEPC	unreviewed	Genome polyprotein (Fragment)		Hepacivirus C	631
O43739	O43739	CYH3_HUMAN	reviewed	Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3)	CYTH3 ARNO3 GRP1 PSCD3	Homo sapiens (Human)	400
Q9NZJ0	Q9NZJ0	DTL_HUMAN	reviewed	Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein)	DTL CDT2 CDW1 DCAF2 L2DTL RAMP	Homo sapiens (Human)	730
Q5ZVS2	Q5ZVS2	Q5ZVS2_LEGPH	unreviewed	Uncharacterized protein	lpg1368	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	525
D6R8X8	D6R8X8	HYUP_MICLQ	reviewed	Hydantoin permease (MHP) (Hydantoin transport protein) (NCS1 benzyl-hydantoin transporter) (Nucleobase cation symporter 1) (NCS1) (Sodium-coupled secondary active transport protein) (Sodium-hydantoin transporter Mhp1)	hyuP	Microbacterium liquefaciens (Aureobacterium liquefaciens)	489
P31345	P31345	PB2_I75A3	reviewed	Polymerase basic protein 2 (RNA-directed RNA polymerase subunit P3)	PB2	Influenza A virus (strain A/Victoria/3/1975 H3N2)	759
O00267	O00267	SPT5H_HUMAN	reviewed	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	Homo sapiens (Human)	1087
Q8CDI2	Q8CDI2	FBX43_MOUSE	reviewed	F-box only protein 43 (Endogenous meiotic inhibitor 2)	Fbxo43 Emi2	Mus musculus (Mouse)	640
Q24139	Q24139	COMM_DROME	reviewed	Protein commissureless 1 (Protein commissureless)	comm CG17943	Drosophila melanogaster (Fruit fly)	370
O08398	O08398	FTSZ_THEMA	reviewed	Cell division protein FtsZ	ftsZ TM_0836	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	351
P13861	P13861	KAP2_HUMAN	reviewed	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A PKR2 PRKAR2	Homo sapiens (Human)	404
H0ZQY2	H0ZQY2	H0ZQY2_TAEGU	unreviewed	SERPIN domain-containing protein		Taeniopygia guttata (Zebra finch) (Poephila guttata)	420
Q45222	Q45222	Y2150_BRADU	reviewed	Uncharacterized protein blr2150 (ORF8)	blr2150	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	300
P9WNU1	P9WNU1	DPO3B_MYCTU	reviewed	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta) (Mtb beta-clamp)	dnaN Rv0002 MTCY10H4.0 MTV029.02	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	402
P00915	P00915	CAH1_HUMAN	reviewed	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I)	CA1	Homo sapiens (Human)	261
Q9UKJ1	Q9UKJ1	PILRA_HUMAN	reviewed	Paired immunoglobulin-like type 2 receptor alpha (Cell surface receptor FDF03) (Inhibitory receptor PILR-alpha)	PILRA	Homo sapiens (Human)	303
O60934	O60934	NBN_HUMAN	reviewed	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)	NBN NBS NBS1 P95	Homo sapiens (Human)	754
P05877	P05877	ENV_HV1MN	reviewed	Envelope glycoprotein gp160 (Env polyprotein) [Cleaved into: Surface protein gp120 (SU) (Glycoprotein 120) (gp120); Transmembrane protein gp41 (TM) (Glycoprotein 41) (gp41)]	env	Human immunodeficiency virus type 1 group M subtype B (isolate MN) (HIV-1)	856
P71278	P71278	P71278_ENTCL	unreviewed	Pentaerythritol tetranitrate reductase	onr	Enterobacter cloacae	365
Q6Q004	Q6Q004	Q6Q004_9HIV1	unreviewed	Protease (Fragment)	pol	Human immunodeficiency virus 1	99
P0A800	P0A800	RPOZ_ECOLI	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ b3649 JW3624	Escherichia coli (strain K12)	91
Q66WN6	Q66WN6	Q66WN6_9BETC	unreviewed	ORF1ab polyprotein (Replicase polyprotein 1ab)		Murine hepatitis virus	7178
Q00960	Q00960	NMDE2_RAT	reviewed	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B)	Grin2b	Rattus norvegicus (Rat)	1482
