yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
3gpj,3mg8,3nzw,3mg7,3oeu,3nzx,3oev,3mg4,3mg0,3mg6,3shj,3sdk,4fzg,3sdi,4fzc,4gk7,4inu,4int,4inr,4j70,4hrc,4hrd,4no9,4hnp,4qlt,4r17,4r18,4nnw,4nnn,4no1,4qls,4r02,4qlq,4q1s,4no8,4no6,4qlu,4qlv,4qw4,4qw3,4qvl,4qws,4qvm,4qw5,4qw7,4qwx,4qwk,4qzx,4qwl,4qw1,4qvp,4qwg,4qwr,4qxj,4qw6,4qwj,4qwf,4qz7,4qz6,4qz3,4qwu,4qz0,4qz1,4qvw,4qwi,4qz5,5ahj,4qz2,4qvq,4qvv,4qzw,4qw0,4qvn,4qvy,4qz4,6gop,6g8n,6g7f,6g8m,6htc,6htd,6htr,6htp,6hvw,6hvv,6hvu,6huc,6hv5,6hvr,6huu,6hva,6hvs,6hv4,6hv7,6huq,6hub,6huv,6hvt	P38624	PSB1_YEAST	reviewed	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit PRE3) (Multicatalytic endopeptidase complex subunit PRE3) (Proteasome component PRE3) (Proteinase YSCE subunit PRE3)	PRE3 YJL001W J1407	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
3gpj,3mg8,3nzw,3mg7,3oeu,3nzx,3oev,3mg4,3mg0,3mg6,3shj,3sdk,4fzg,3sdi,4fzc,4gk7,4inu,4int,4inr,4j70,4hrc,4hrd,4no9,4hnp,4qlt,4r17,4r18,4nnw,4nnn,4no1,4qls,4r02,4qlq,4q1s,4no8,4no6,4qlu,4qlv,4qw4,4qw3,4qvl,4qws,4qvm,4qw5,4qw7,4qwx,4qwk,4qzx,4qwl,4qw1,4qvp,4qwg,4qwr,4qxj,4qw6,4qwj,4qwf,4qz7,4qz6,4qz3,4qwu,4qz0,4qz1,4qvw,4qwi,4qz5,5ahj,4qz2,4qvq,4qvv,4qzw,4qw0,4qvn,4qvy,4qz4,6gop,6g8n,6g7f,6g8m,6htc,6htd,6htr,6htp,6hvw,6hvv,6hvu,6huc,6hv5,6hvr,6huu,6hva,6hvs,6hv4,6hv7,6huq,6hub,6huv,6hvt	P40302	PSA6_YEAST	reviewed	Proteasome subunit alpha type-6 (Macropain subunit PRE5) (Multicatalytic endopeptidase complex subunit PRE5) (Proteasome component PRE5) (Proteinase YSCE subunit PRE5)	PRE5 YMR314W YM9924.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	234
3gpj,3mg8,3nzw,3mg7,3oeu,3nzx,3oev,3mg4,3mg0,3mg6,3shj,3sdk,4fzg,3sdi,4fzc,4gk7,4inu,4int,4inr,4j70,4hrc,4hrd,4no9,4hnp,4qlt,4r17,4r18,4nnw,4nnn,4no1,4qls,4r02,4qlq,4q1s,4no8,4no6,4qlu,4qlv,4qw4,4qw3,4qvl,4qws,4qvm,4qw5,4qw7,4qwx,4qwk,4qzx,4qwl,4qw1,4qvp,4qwg,4qwr,4qxj,4qw6,4qwj,4qwf,4qz7,4qz6,4qz3,4qwu,4qz0,4qz1,4qvw,4qwi,4qz5,5ahj,4qz2,4qvq,4qvv,4qzw,4qw0,4qvn,4qvy,4qz4,6gop,6g8n,6g7f,6g8m,6htc,6htd,6htr,6htp,6hvw,6hvv,6hvu,6huc,6hv5,6hvr,6huu,6hva,6hvs,6hv4,6hv7,6huq,6hub,6huv,6hvt	P40303	PSA4_YEAST	reviewed	Proteasome subunit alpha type-4 (Macropain subunit PRE6) (Multicatalytic endopeptidase complex subunit PRE6) (Proteasome component PRE6) (Proteinase YSCE subunit PRE6)	PRE6 YOL038W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254
6e5b,6hvw,6hvv,6hvu,6hv5,6hvr,6hva,6hvs,6hv4,6hv7,6hvt	P40306	PSB10_HUMAN	reviewed	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	PSMB10 LMP10 MECL1	Homo sapiens (Human)	273
6n69	O35543	HPGDS_RAT	reviewed	Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase)	Hpgds Gsts Pgds Ptgds2	Rattus norvegicus (Rat)	199
6fv1,6fv2	P0C6X5	R1AB_CVHNL	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p14); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p66) (p66-HEL); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 4.6.1.-) (NendoU) (nsp15) (p41); Putative 2'-O-methyl transferase (EC 2.1.1.57) (nsp16)]	rep 1a-1b	Human coronavirus NL63 (HCoV-NL63)	6729
5zlf,5ze6	P0AD57	ISPB_ECOLI	reviewed	Octaprenyl diphosphate synthase (EC 2.5.1.90) (All-trans-octaprenyl-diphosphate synthase) (Octaprenyl pyrophosphate synthase) (OPP synthase)	ispB cel yhbD b3187 JW3154	Escherichia coli (strain K12)	323
6h4d	Q9HUL3	RSGA_PSEAE	reviewed	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA PA4952	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	339
6maj	O95251	KAT7_HUMAN	reviewed	Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)	KAT7 HBO1 HBOa MYST2	Homo sapiens (Human)	611
5n49,6maj	O95696	BRD1_HUMAN	reviewed	Bromodomain-containing protein 1 (BR140-like protein) (Bromodomain and PHD finger-containing protein 2)	BRD1 BRL BRPF2	Homo sapiens (Human)	1058
3wdz,5cgj,5fnq,5fnu,5fnt,5fns,5fnr,6qmd,6qme,6qmk,6qmj	Q9Z2X8	KEAP1_MOUSE	reviewed	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2)	Keap1 Inrf2 Kiaa0132	Mus musculus (Mouse)	624
3nm6,4ffs,4yo8,4ynb,4wkn,4wkp,4wko,6dyv,6dyy,6dyw,6dyu	Q9ZMY2	MQMTN_HELPJ	reviewed	Aminodeoxyfutalosine nucleosidase (AFL nucleosidase) (Aminofutalosine nucleosidase) (EC 3.2.2.30) (5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase) (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (6-amino-6-deoxyfutalosine N-ribosylhydrolase)	mtnN mtn jhp_0082	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	230
1pme,1wzy,1tvo,2ojg,2ojj,2oji,3i60,3i5z,2y9q,4fmq,3w55,4h3q,4o6e,4qta,5bue,5buj,5bve,4qpa,4qp9,5bui,5bvd,5bvf,4qp8,4qp7,4qp1,4qp6,4qp2,4xj0,5lck,5lcj,5ax3,5k4i,5nhf,5nhl,5nho,5nhh,5nhv,5nhj,5nhp,5ngu,6g93,6ge0,6g9a,6g9n,6g91,6g9h,6g9j,6g97,6g9d,6g9k,6g9m,6g92,6gjd,6gjb,6slg	P28482	MK01_HUMAN	reviewed	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	Homo sapiens (Human)	360
6rr0	P53874	UBP10_YEAST	reviewed	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Disrupter of telomere silencing protein 4) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	UBP10 DOT4 YNL186W N1619	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	792
6qsz	Q03661	ESC1_YEAST	reviewed	Silent chromatin protein ESC1 (Establishes silent chromatin protein 1)	ESC1 YMR219W YM8261.13 YM9959.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1658
1ok7,3d1e,3d1f,3d1g,3qsb,3q4l,3q4j,3q4k,4k3l,4k3k,4k3p,4k3q,4k3r,4k3m,4k3o,4mjp,4mjq,4n99,4n98,4mjr,4n9a,6fvl	P0A988	DPO3B_ECOLI	reviewed	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit)	dnaN b3701 JW3678	Escherichia coli (strain K12)	366
6ai9	P40506	PPCS_YEAST	reviewed	Phosphopantothenate--cysteine ligase CAB2 (EC 6.3.2.5) (Coenzyme A biosynthesis protein 2) (Phosphopantothenoylcysteine synthetase) (PPC synthetase)	CAB2 YIL083C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	365
6oja	Q9JPG4	Q9JPG4_NEIME	unreviewed	Lipoprotein	gna1946 A6J53_05495 COI09_00235 ERS514851_01229 NCTC8554_01715	Neisseria meningitidis	287
6n9l	Q9WYV0	UVRA_THEMA	reviewed	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA TM_0480	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	916
6pxc	P20936	RASA1_HUMAN	reviewed	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	RASA1 GAP RASA	Homo sapiens (Human)	1047
6pxc	Q9NRY4	RHG35_HUMAN	reviewed	Rho GTPase-activating protein 35 (Glucocorticoid receptor DNA-binding factor 1) (Glucocorticoid receptor repression factor 1) (GRF-1) (Rho GAP p190A) (p190-A)	ARHGAP35 GRF1 GRLF1 KIAA1722 P190A p190ARHOGAP	Homo sapiens (Human)	1499
1l83,186l,184l,185l,187l,188l,220l,223l,1li6,1lgw,1li3,1li2,3eml,3oe0,3oe9,3odu,3oe8,3oe6,3p0g,3qak,3run,4djh,3v2w,3vw7,4i7l,4i7p,4i7j,4k5y,4i7m,4i7k,4oo9,4phu,4qkx,4w53,4w57,4w52,4w55,4w54,5cgc,5cgd,5t1a,5ee7,5v88,5v86,5vex,5v83,5vew,5tzy,5ndd,6ffh,6bg3,6bg5,6ffi,5kw2,5wf6,6m9t,5wf5,6k1q,6a73	P00720	ENLYS_BPT4	reviewed	Endolysin (EC 3.2.1.17) (Lysis protein) (Lysozyme) (Muramidase)	E	Enterobacteria phage T4 (Bacteriophage T4)	164
6a73	P61201	CSN2_HUMAN	reviewed	COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15)	COPS2 CSN2 TRIP15	Homo sapiens (Human)	443
1gx8,2gj5,3nq3,3nq9,3uex,3uew,3uev,3ueu,4kii,4gny,6ghh,6gfs,6gf9,6ge7,6qi7	P02754	LACB_BOVIN	reviewed	Beta-lactoglobulin (Beta-LG) (allergen Bos d 5)	LGB	Bos taurus (Bovine)	178
6pfj	A0A3N1Q704	A0A3N1Q704_9ACTN	unreviewed	RNA polymerase sigma factor	EDD98_3685	Streptomyces sp. PanSC19	278
6pfj	F2RFR7	F2RFR7_STRVP	unreviewed	AmfC protein	SVEN_3933	Streptomyces venezuelae (strain ATCC 10712 / CBS 650.69 / DSM 40230 / JCM 4526 / NBRC 13096 / PD 04745)	199
6pek	Q9UBP0	SPAST_HUMAN	reviewed	Spastin (EC 5.6.1.1) (Spastic paraplegia 4 protein)	SPAST ADPSP FSP2 KIAA1083 SPG4	Homo sapiens (Human)	616
4lil,6r4s	P49642	PRI1_HUMAN	reviewed	DNA primase small subunit (EC 2.7.7.102) (DNA primase 49 kDa subunit) (p49)	PRIM1	Homo sapiens (Human)	420
6c8c	Q920Q2	REV1_MOUSE	reviewed	DNA repair protein REV1 (EC 2.7.7.-) (Rev1-like terminal deoxycytidyl transferase)	Rev1 Rev1l	Mus musculus (Mouse)	1249
6c8c	Q9QUG2	POLK_MOUSE	reviewed	DNA polymerase kappa (EC 2.7.7.7) (DINB protein) (DINP)	Polk Dinb1	Mus musculus (Mouse)	852
6sy7	O15648	PFKA_TRYBB	reviewed	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfk	Trypanosoma brucei brucei	487
6r7r	Q5JID0	Q5JID0_THEKO	unreviewed	Proton/glutamate symporter, SDF family	TK0986	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	430
6idz,6idb	R4NN21	R4NN21_9INFA	unreviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (A/Shanghai/02/2013(H7N9))	560
6op9	P21860	ERBB3_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	ERBB3 HER3	Homo sapiens (Human)	1342
5zys	Q6RHR9	MAGI1_MOUSE	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1)	Magi1 Baiap1 Bap1	Mus musculus (Mouse)	1471
1fvv,1e9h,1h1q,1h1r,1h1p,1h1s,1ogu,1ol2,1okv,1p5e,1urc,1ol1,1okw,1h28,1h24,1h25,1h27,1h26,1oiu,1vyw,1oiy,1oi9,2c4g,2bpm,2iw6,2c5n,2c5x,2i40,2iw8,2c5o,2bkz,2iw9,2uzb,2uzd,2uzl,2uue,2uze,3ej1,3eoc,3eid,2v22,2wev,2wih,2wxv,2wpa,4cfw,4bcm,4eos,4eol,4eon,4eoi,4eop,4bcn,4bck,4eor,4bcp,4eok,4cfm,4cfv,4cfx,4cfu,5cyi,5lmk,5nev,6gva,6p3w	P20248	CCNA2_HUMAN	reviewed	Cyclin-A2 (Cyclin-A) (Cyclin A)	CCNA2 CCN1 CCNA	Homo sapiens (Human)	432
6p3w	Q13415	ORC1_HUMAN	reviewed	Origin recognition complex subunit 1 (Replication control protein 1)	ORC1 ORC1L PARC1	Homo sapiens (Human)	861
6mkq	A0A0U3IB62	A0A0U3IB62_VIBCL	unreviewed	Beta-lactamase (EC 3.5.2.6)	BC353_18910	Vibrio cholerae	284
6pi7	Q96J94	PIWL1_HUMAN	reviewed	Piwi-like protein 1 (EC 3.1.26.-)	PIWIL1 HIWI	Homo sapiens (Human)	861
6pi7	Q9Y2W6	TDRKH_HUMAN	reviewed	Tudor and KH domain-containing protein (Tudor domain-containing protein 2)	TDRKH TDRD2	Homo sapiens (Human)	561
6j72	I7FE16	I7FE16_MYCS2	unreviewed	Isoniazid inducible gene protein IniA	iniA MSMEI_0678	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	629
6a87	A0A384E107	A0A384E107_9AGAR	unreviewed	Lectin (PhoSL)		Pholiota squarrosa	40
2ybp,2ybs,3t6r,6oie	Q16695	H31T_HUMAN	reviewed	Histone H3.1t (H3/t) (H3t) (H3/g) (Histone H3.4)	H3-4 H3FT HIST3H3	Homo sapiens (Human)	136
5u2j,6oie	Q8WYB5	KAT6B_HUMAN	reviewed	Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)	KAT6B KIAA0383 MORF MOZ2 MYST4	Homo sapiens (Human)	2073
6dsp	U5MRH9	U5MRH9_CLOSA	unreviewed	Autoinducer 2-binding protein LsrB	lsrB CLSA_c21430	Clostridium saccharobutylicum DSM 13864	366
6htn	A0A2T6C3M6	A0A2T6C3M6_9FLAO	unreviewed	Fucose-binding lectin	C8N46_102337	Kordia periserrulae	149
6hm1	A8GFD6	A8GFD6_SERP5	unreviewed	Glycoside hydrolase family 18	Spro_2725	Serratia proteamaculans (strain 568)	426
6r8i	Q6IN85	P4R3A_HUMAN	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 3A (SMEK homolog 1)	PPP4R3A KIAA2010 PP4R3A SMEK1 MSTP033	Homo sapiens (Human)	833
3b95,3fpd,3mo5,3mo0,3mo2,3sw9,5tuz,5ttg,5vsd,5vsf,6mbo,6mbp	Q9H9B1	EHMT1_HUMAN	reviewed	Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D)	EHMT1 EUHMTASE1 GLP KIAA1876 KMT1D	Homo sapiens (Human)	1298
6pka	Q2G036	CLPP_STAA8	reviewed	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP SAOUHSC_00790	Staphylococcus aureus (strain NCTC 8325 / PS 47)	195
6d9s	B9ZW32	B9ZW32_BACAN	unreviewed	Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	hpt GBAA_0063	Bacillus anthracis	179
3uvk,4erq,6o7g	O14686	KMT2D_HUMAN	reviewed	Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.364) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	KMT2D ALR MLL2 MLL4	Homo sapiens (Human)	5537
6a80	C6XGT2	C6XGT2_LIBAP	unreviewed	Putative amino acid-binding periplasmic ABC transporter protein	CLIBASIA_05070	Liberibacter asiaticus (strain psy62)	274
1uwh,2fb8,3d4q,3c4c,3ii5,3idp,3og7,3ppj,3ppk,3prf,3skc,3tv4,3q96,3q4c,3psb,3psd,3tv6,4e26,4g9c,4dbn,4e4x,4h58,4ehe,4ksq,4mbj,4ehg,4ksp,4pp7,4cqe,4fc0,4xv1,4xv2,4xv3,5ct7,4xv9,4yht,5jrq,4r5y,5jsm,5jt2,5fd2,5j18,5csw,5csx,6b8u,6n0q,6nsq,6n0p	P15056	BRAF_HUMAN	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1	Homo sapiens (Human)	766
6k4r	Q5ZTK6	SIDJ_LEGPH	reviewed	Calmodulin-dependent glutamylase SidJ (EC 6.-.-.-)	sidJ lpg2155	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	873
1k27,6dyz,6dz0,6dz3,6dz2	Q13126	MTAP_HUMAN	reviewed	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	MTAP MSAP	Homo sapiens (Human)	283
4gq4,4gq6,4i80,4og7,4og6,4og5,4og8,4og3,4og4,5dda,5ddd,5dde,5ddf,5dd9,5ddb,4x5z,4x5y,5db3,5db1,5db2,5db0,5ddc,6by8,6b41,6bxy,6e1a	O00255	MEN1_HUMAN	reviewed	Menin	MEN1 SCG2	Homo sapiens (Human)	615
6h8c	P60520	GBRL2_HUMAN	reviewed	Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (General protein transport factor p16) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16) (MAP1 light chain 3-related protein)	GABARAPL2 FLC3A GEF2	Homo sapiens (Human)	117
5hkh,6h77,6h78,6h8c	Q9GZZ9	UBA5_HUMAN	reviewed	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	UBA5 UBE1DC1	Homo sapiens (Human)	404
6n0m	P58004	SESN2_HUMAN	reviewed	Sestrin-2 (EC 1.11.1.-) (Hypoxia-induced gene)	SESN2 Hi95 SEST2	Homo sapiens (Human)	480
6rqk	Q8XNB2	Q8XNB2_CLOPE	unreviewed	Uncharacterized protein	CPE0426	Clostridium perfringens (strain 13 / Type A)	427
5gub,5gx6,5gx7,5xs8,6inz	D1AWE0	D1AWE0_STRM9	unreviewed	Extracellular solute-binding protein family 1	Smon_0123	Streptobacillus moniliformis (strain ATCC 14647 / DSM 12112 / NCTC 10651 / 9901)	505
1i5r,3hb4,6mnc	P14061	DHB1_HUMAN	reviewed	17-beta-hydroxysteroid dehydrogenase type 1 (17-beta-HSD 1) (EC 1.1.1.51) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Estradiol 17-beta-dehydrogenase 1) (EC 1.1.1.62) (Placental 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 28C member 1)	HSD17B1 E17KSR EDH17B1 EDH17B2 EDHB17 SDR28C1	Homo sapiens (Human)	328
2q80,6r4v	O95749	GGPPS_HUMAN	reviewed	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)	GGPS1	Homo sapiens (Human)	300
2pax,4pax,3pax,1efy,6i8m,6i8t	P26446	PARP1_CHICK	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	PARP1 ADPRT	Gallus gallus (Chicken)	1011
6a9c	C4LUC7	C4LUC7_ENTHI	unreviewed	Unconventional myosin IB	EHI_110810	Entamoeba histolytica	1049
6a9c	C4M4E9	C4M4E9_ENTHI	unreviewed	Rho guanine nucleotide exchange factor, putative	EHI_078740	Entamoeba histolytica	876
6hol	Q6ZNE5	BAKOR_HUMAN	reviewed	Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L)	ATG14 ATG14L KIAA0831	Homo sapiens (Human)	492
5zhl,5zhj,6jof	P9WFY7	TRMD_MYCTU	reviewed	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD Rv2906c MTCY274.37c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	230
5mlj,6j3p	Q92830	KAT2A_HUMAN	reviewed	Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (hGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A) (STAF97)	KAT2A GCN5 GCN5L2	Homo sapiens (Human)	837
5vzy,6msy,6mub,6mu3,6iqg	P0DOX5	IGG1_HUMAN	reviewed	Immunoglobulin gamma-1 heavy chain (Immunoglobulin gamma-1 heavy chain NIE)		Homo sapiens (Human)	449
5zbz	P60842	IF4A1_HUMAN	reviewed	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406
6d49,6d4a	P20138	CD33_HUMAN	reviewed	Myeloid cell surface antigen CD33 (Sialic acid-binding Ig-like lectin 3) (Siglec-3) (gp67) (CD antigen CD33)	CD33 SIGLEC3	Homo sapiens (Human)	364
1g3f,1tfq,1tft,2opy,3eyl,3cm7,3cm2,2vsl,2jk7,3g76,3hl5,4ec4,3uw5,3uw4,4kjv,4hy0,4kju,4j45,4j44,4j47,4j48,4j46,5c83,4wvs,5c84,4wvu,5c3k,5c0k,5c7b,4wvt,5c7a,5c7c,5c7d,5m6h,5m6f,5m6m,5oqw,6gjw	P98170	XIAP_HUMAN	reviewed	E3 ubiquitin-protein ligase XIAP (EC 2.3.2.27) (Baculoviral IAP repeat-containing protein 4) (IAP-like protein) (ILP) (hILP) (Inhibitor of apoptosis protein 3) (IAP-3) (hIAP-3) (hIAP3) (RING-type E3 ubiquitin transferase XIAP) (X-linked inhibitor of apoptosis protein) (X-linked IAP)	XIAP API3 BIRC4 IAP3	Homo sapiens (Human)	497
6cf7	A7Y8I1	A7Y8I1_9INFA	unreviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (A/Solomon Islands/3/2006(H1N1))	565
6cf7	F2NZB4	F2NZB4_9INFA	unreviewed	Hemagglutinin (Fragment)	HA	Influenza A virus (A/Hong Kong/65446/2008(H1N1))	549
6i5j,6i5n,6i4x	O14508	SOCS2_HUMAN	reviewed	Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2) (STAT-induced STAT inhibitor 2) (SSI-2)	SOCS2 CIS2 SSI2 STATI2	Homo sapiens (Human)	198
6a30	P63045	VAMP2_RAT	reviewed	Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2)	Vamp2 Syb2	Rattus norvegicus (Rat)	116
6a30	Q62768	UN13A_RAT	reviewed	Protein unc-13 homolog A (Munc13-1)	Unc13a Unc13h1	Rattus norvegicus (Rat)	1735
6me1	P03375	ENV_HV1B1	reviewed	Envelope glycoprotein gp160 (Env polyprotein) [Cleaved into: Surface protein gp120 (SU) (Glycoprotein 120) (gp120); Transmembrane protein gp41 (TM) (Glycoprotein 41) (gp41)]	env	Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1)	856
4kqq,4kqr,4kqo,6un3,6un1	G3XD46	FTSI_PSEAE	reviewed	Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Penicillin-binding protein 3) (PBP-3)	ftsI pbpB PA4418	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	579
